provider_id,provider_name,Accountability,Inclusivity & diversity,Participatory governance,Transparency,AIPI,coverage,rank
openai,OpenAI,0.6,0.0,0.35,0.35,0.32499999999999996,0.4,1
anthropic,Anthropic,0.4,0.0,0.25,0.15,0.2,0.275,2
stability,Stability AI,0.1,0.0,0.1,0.5,0.175,0.175,3
mistral,Mistral AI,0.0,0.0,0.2,0.45,0.1625,0.175,4
google,Google (DeepMind),0.2,0.0,0.15,0.25,0.15,0.225,5
alibaba,Alibaba Cloud,0.2,0.0,0.1,0.25,0.1375,0.175,6
meta,Meta,0.2,0.0,0.1,0.25,0.1375,0.175,7
climatetrace,Climate TRACE coalition,0.0,0.0,0.15,0.4,0.1375,0.15,8
bigscience,BigScience,0.0,0.0,0.05,0.5,0.1375,0.15,9
unicef_kindly,UNICEF Office of Innovation,0.0,0.0,0.25,0.3,0.1375,0.15,10
eleutherai,EleutherAI,0.0,0.0,0.05,0.5,0.1375,0.15,11
clarinpl,CLARIN-PL,0.0,0.0,0.05,0.45,0.125,0.15,12
cohere,Cohere,0.2,0.0,0.15,0.15,0.125,0.2,13
nectec,NECTEC (Thailand),0.0,0.0,0.05,0.45,0.125,0.15,14
nous,Nous Research,0.0,0.0,0.05,0.45,0.125,0.15,15
dccuchile,DCC UChile,0.0,0.0,0.05,0.45,0.125,0.15,16
nvidia_parakeet,NVIDIA,0.0,0.0,0.05,0.45,0.125,0.15,17
indonlp,IndoNLU (IndoNLP),0.0,0.0,0.05,0.45,0.125,0.15,18
openai_whisper,OpenAI,0.0,0.0,0.05,0.45,0.125,0.15,19
elyza,ELYZA,0.0,0.0,0.05,0.45,0.125,0.15,20
minicpm,OpenBMB,0.0,0.0,0.05,0.45,0.125,0.15,21
openbmb_qwen2vl,OpenBMB,0.0,0.0,0.05,0.45,0.125,0.15,22
meta_audio,Meta,0.0,0.0,0.05,0.45,0.125,0.15,23
mbzuai,MBZUAI / Inception (G42),0.0,0.0,0.05,0.45,0.125,0.15,24
masakhane,Masakhane,0.0,0.0,0.05,0.45,0.125,0.15,25
