provider_id,provider_name,system_family,Accountability,Inclusivity & diversity,Participatory governance,Transparency,AIPI,coverage,rank
flora_incognita,TU Ilmenau & Max Planck Institute (MPI-Jena),Flora Incognita,,1.0,,1.0,1.0,0.075,1
theoceancleanup_adis,The Ocean Cleanup,ADIS (AI Debris Identification System),,,1.0,1.0,1.0,0.075,2
syrian_archive,Mnemonic / Syrian Archive,Syrian Archive (OSINT pipeline),,,1.0,1.0,1.0,0.075,3
stability,Stability AI,Stable Diffusion (SDXL/3),1.0,,1.0,1.0,1.0,0.175,4
grw_microsoft_planet_tnc,"Microsoft,Planet Labs,The Nature Conservancy",Global Renewables Watch (GRW),,,1.0,1.0,1.0,0.05,5
mistral,Mistral AI,Mistral/Mixtral,,,1.0,0.9,0.95,0.175,6
unicef_kindly,UNICEF Office of Innovation,Kindly (anti-cyberbullying API),,,0.8333333333333334,1.0,0.9166666666666667,0.15,7
huridocs_uwazi,HURIDOCS,Uwazi,,,0.8333333333333334,1.0,0.9166666666666667,0.125,8
meta,Meta,Llama 3.x,1.0,,1.0,0.625,0.875,0.175,9
alibaba,Alibaba Cloud,Qwen (Qwen2.5/Qwen3),1.0,,1.0,0.625,0.875,0.175,10
climatetrace,Climate TRACE coalition,Climate TRACE,,,0.75,1.0,0.875,0.15,11
unicef_itu_giga_project_connect,UNICEF + ITU (Giga),Project Connect,,,0.75,1.0,0.875,0.1,12
iu_osome_botometer,Indiana University (OSoMe & IUNI),Botometer,,1.0,0.5,1.0,0.8333333333333334,0.1,13
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,1.0,,0.875,0.5833333333333334,0.8194444444444445,0.4,14
xai,xAI,Grok,1.0,,0.75,0.625,0.7916666666666666,0.175,15
google,Google (DeepMind),Gemini (Ultra/Pro/Nano/Flash),1.0,,0.75,0.5,0.75,0.225,16
eleutherai,EleutherAI,GPT‑NeoX / GPT-J,,,0.5,1.0,0.75,0.15,17
drivendata_zamba,DrivenData,Zamba,,,0.5,1.0,0.75,0.125,18
bigscience,BigScience,BLOOM,,,0.5,1.0,0.75,0.15,19
helsinki_obotti,City of Helsinki,Obotti (Oodi book recommendation chatbot),,,0.5,1.0,0.75,0.075,20
anthropic,Anthropic,Claude 3.x / 4.x Sonnet/Opus/Haiku,1.0,,0.8333333333333334,0.375,0.7361111111111112,0.275,21
cohere,Cohere,Command / Embed / Rerank,1.0,,0.75,0.375,0.7083333333333334,0.2,22
idea_research,IDEA Research,Grounding DINO,,,0.5,0.9,0.7,0.075,23
indonlp,IndoNLU (IndoNLP),IndoBERT,,,0.5,0.9,0.7,0.15,24
siloai,Silo AI,Poro,,,0.5,0.9,0.7,0.15,25
sarvam,Sarvam AI,OpenHathi / Sarvam models,,,0.5,0.9,0.7,0.15,26
internlm,Shanghai AI Lab,InternLM,,,0.5,0.9,0.7,0.15,27
ibm_granite_code,IBM,Granite Code,,,0.5,0.9,0.7,0.15,28
ibm,IBM,Granite,,,0.5,0.9,0.7,0.15,29
01-ai,01.AI,Yi family,,,0.5,0.9,0.7,0.15,30
jina,Jina AI,Jina Embeddings / CLIP variants,,,0.5,0.9,0.7,0.15,31
kakaobrain,Kakao Brain,KoGPT,,,0.5,0.9,0.7,0.15,32
nectec,NECTEC (Thailand),WangchanGLM,,,0.5,0.9,0.7,0.15,33
minigpt4,KAUST Vision-CAIR,MiniGPT-4,,,0.5,0.9,0.7,0.075,34
minicpm,OpenBMB,MiniCPM,,,0.5,0.9,0.7,0.15,35
openai_whisper,OpenAI,Whisper,,,0.5,0.9,0.7,0.15,36
openassistant,OpenAssistant (LAION),OASST models,,,0.5,0.9,0.7,0.15,37
openbmb_qwen2vl,OpenBMB,MiniCPM-V,,,0.5,0.9,0.7,0.15,38
openflamingo,OpenFlamingo (LAION/AllenAI),OpenFlamingo,,,0.5,0.9,0.7,0.075,39
openorca,OpenOrca,OpenOrca,,,0.5,0.9,0.7,0.075,40
meta_audio,Meta,AudioCraft / MusicGen,,,0.5,0.9,0.7,0.15,41
mbzuai,MBZUAI / Inception (G42),Jais,,,0.5,0.9,0.7,0.15,42
masakhane,Masakhane,AfriBERTa,,,0.5,0.9,0.7,0.15,43
lnu_lm,LMU/LAION,LeoLM,,,0.5,0.9,0.7,0.15,44
planTL,PlanTL-GOB (BSC),MarIA,,,0.5,0.9,0.7,0.15,45
spacy_es,BSC & UPV,RoBERTa-BNE,,,0.5,0.9,0.7,0.15,46
qcri,Qatar Computing Research Institute (QCRI),AraBERT,,,0.5,0.9,0.7,0.15,47
llava,LLaVA Team (Berkeley/UCLA/CMU),LLaVA,,,0.5,0.9,0.7,0.075,48
nous,Nous Research,Hermes,,,0.5,0.9,0.7,0.15,49
hf,Hugging Face,Zephyr,,,0.5,0.9,0.7,0.15,50
unicamp,NILC (USP/UNICAMP),BERTimbau,,,0.5,0.9,0.7,0.15,51
allegro,Allegro (PL),HerBERT,,,0.5,0.9,0.7,0.15,52
aisg,AI Singapore,SEA-LION,,,0.5,0.9,0.7,0.15,53
bigcode,BigCode (ServiceNow + HF),StarCoder2,,,0.5,0.9,0.7,0.15,54
helsinki_nlp,Helsinki-NLP,OPUS-MT,,,0.5,0.9,0.7,0.075,55
uio_nlp,University of Oslo NLP,NorBERT,,,0.5,0.9,0.7,0.075,56
turkunlp,TurkuNLP (University of Turku),FinBERT,,,0.5,0.9,0.7,0.075,57
cerebras,Cerebras Systems,Cerebras-GPT,,,0.5,0.9,0.7,0.075,58
tinyllama,TinyLlama,TinyLlama,,,0.5,0.9,0.7,0.075,59
ai_sweden,AI Sweden,GPT‑SW3,,,0.5,0.9,0.7,0.15,60
clarinpl,CLARIN-PL,Polish RoBERTa,,,0.5,0.9,0.7,0.15,61
thudm,THUDM (Tsinghua),ChatGLM-6B,,,0.5,0.9,0.7,0.15,62
vinai,VinAI,PhoBERT,,,0.5,0.9,0.7,0.15,63
dccuchile,DCC UChile,BETO (Spanish BERT),,,0.5,0.9,0.7,0.15,64
teknium,Teknium,OpenHermes,,,0.5,0.9,0.7,0.075,65
deeppavlov,DeepPavlov,ruGPT / rubert,,,0.5,0.9,0.7,0.075,66
yandex,Yandex,YaLM,,,0.5,0.9,0.7,0.15,67
abacus,Abacus.AI,Smaug,,,0.5,0.9,0.7,0.075,68
