indicator_id,pillar,subpillar,indicator_name,definition,operationalization,allowed_values,evidence_required,coding_instructions,version,last_updated_utc
GOV1,Participatory governance,Stakeholder advisory mechanism,Stakeholder advisory mechanism,"Provider has a documented stakeholder advisory council/board or equivalent participatory body with remit over safety, fairness, or deployment decisions.",Binary (Yes/No/Unknown),Yes|No|Unknown,"Public charters, governance pages, blog posts, press releases, or official filings describing the advisory body and its role.",List URL(s) where the advisory body and remit are described; include date of document or archive link if possible.,1.0.0,2025-08-22T04:17:27Z
GOV2,Participatory governance,Public consultation on model/policy,Public consultation on model/policy,"Provider conducted a public consultation or request-for-comment (RFC) on model governance, content policies, or safety guidelines pre- or post-release.",Binary (Yes/No/Unknown),Yes|No|Unknown,"Official RFC pages, GitHub issues, policy portals, public feedback forms with archived summaries.",Link to RFC page and summary/outcomes if available.,1.0.0,2025-06-24T23:50:11Z
GOV3,Participatory governance,Issue tracker for user feedback,Issue tracker for user feedback,"Provider maintains a public, searchable issue tracker or feedback forum tied to the model family (e.g., GitHub issues) and responds within a documented SLA.","Ordinal (0=none,1=public/one-way,2=two-way with response SLA)",0|1|2|Unknown,"GitHub org repos, discussion forums, policy portals, response time docs.",Record URL to issue tracker and any policy stating response expectations.,1.0.0,2025-09-20T04:42:55Z
GOV4,Participatory governance,Participatory red teaming,Participatory red teaming,"Provider ran a red-teaming or bug-bash event open to external stakeholders (researchers, advocates, affected communities) with published findings.",Binary (Yes/No/Unknown),Yes|No|Unknown,"Event pages, reports, conference presentations, blog posts.",Link to event/report and any bounty payouts or follow-up actions.,1.0.0,2025-08-21T02:01:03Z
GOV5,Participatory governance,Data rights & consent deals,Data rights & consent deals,Provider has documented consent-driven or compensated data licensing agreements with creators/publishers for training.,"Ordinal (0=none,1=pilot/limited,2=programmatic/standard offering)",0|1|2|Unknown,"Data licensing program pages, newsroom agreements, rights management portals.",Link to program or announcements; include contract type where public.,1.0.0,2025-09-06T16:19:21Z
GOV6,Participatory governance,Civil society partnerships,Civil society partnerships,Provider has formal partnerships with civil society or public-interest groups influencing model objectives or guardrails.,Binary (Yes/No/Unknown),Yes|No|Unknown,"MoUs, partnership announcements, co-authored reports.",Include partner name(s) and role.,1.0.0,2025-05-13T18:51:14Z
GOV7,Participatory governance,Training data opt-out,Training data opt-out,Provider offers a documented opt-out mechanism for creators or websites to exclude data from training or future finetunes.,Binary (Yes/No/Unknown),Yes|No|Unknown,"Robots.txt conventions, data opt-out portals, legal docs.",Link opt-out instructions and scope (training vs. API retention).,1.0.0,2025-05-10T12:33:50Z
GOV8,Participatory governance,Participatory evaluation,Participatory evaluation,Provider includes affected stakeholders in evaluation design and publishes methodology.,Binary (Yes/No/Unknown),Yes|No|Unknown,Eval reports listing community participation; acknowledgments.,Link evaluation protocol and participant description.,1.0.0,2025-07-30T22:18:07Z
GOV9,Participatory governance,Model policy protects vulnerable groups,Model policy protects vulnerable groups,"Content/use policies explicitly protect vulnerable groups (e.g., marginalized communities) beyond generic terms.",Binary (Yes/No/Unknown),Yes|No|Unknown,"Use policy pages specifying protected characteristics, prohibited targeting.",Link to policy section.,1.0.0,2025-06-10T19:56:31Z
GOV10,Participatory governance,Independent oversight,Independent oversight,Independent ethics/oversight board with published membership and meeting summaries exists for the provider or model family.,Binary (Yes/No/Unknown),Yes|No|Unknown,"Oversight board pages, charters, minutes.",Link charter/membership and any published minutes.,1.0.0,2025-05-19T17:50:30Z
