provider_id,provider_name,system_family,indicator_id,indicator_value,evidence_url,evidence_excerpt,coder_email_or_id,date_coded_utc,last_reviewed_utc
bigscience,BigScience,BLOOM,GOV1,Unknown,,,,,
bigscience,BigScience,BLOOM,GOV2,Unknown,,,,,
bigscience,BigScience,BLOOM,GOV3,1,https://huggingface.co/bigscience/bloom/discussions,Public Hugging Face 'Discussions' exist for model feedback.,aipi_coder_gpt5pro,2025-10-07T01:14:31Z,2025-10-07T01:14:31Z
bigscience,BigScience,BLOOM,GOV4,Unknown,,,,,
bigscience,BigScience,BLOOM,GOV5,Unknown,,,,,
bigscience,BigScience,BLOOM,GOV6,Unknown,,,,,
bigscience,BigScience,BLOOM,GOV7,Unknown,,,,,
bigscience,BigScience,BLOOM,GOV8,Unknown,,,,,
bigscience,BigScience,BLOOM,GOV9,Unknown,,,,,
bigscience,BigScience,BLOOM,GOV10,Unknown,,,,,
bigscience,BigScience,BLOOM,INC1,Unknown,,,,,
bigscience,BigScience,BLOOM,INC2,Unknown,,,,,
bigscience,BigScience,BLOOM,INC3,Unknown,,,,,
bigscience,BigScience,BLOOM,INC4,Unknown,,,,,
bigscience,BigScience,BLOOM,INC5,Unknown,,,,,
bigscience,BigScience,BLOOM,INC6,Unknown,,,,,
bigscience,BigScience,BLOOM,INC7,Unknown,,,,,
bigscience,BigScience,BLOOM,INC8,Unknown,,,,,
bigscience,BigScience,BLOOM,INC9,Unknown,,,,,
bigscience,BigScience,BLOOM,INC10,Unknown,,,,,
bigscience,BigScience,BLOOM,TRA1,Yes,https://huggingface.co/bigscience/bloom,Model card available on model hub/repo.,aipi_coder_gpt5pro,2025-10-07T01:14:31Z,2025-10-07T01:14:31Z
bigscience,BigScience,BLOOM,TRA2,2,https://huggingface.co/bigscience/bloom,Training data sources described at high-level/dataset list depending on family.,aipi_coder_gpt5pro,2025-10-07T01:14:31Z,2025-10-07T01:14:31Z
bigscience,BigScience,BLOOM,TRA3,Yes,https://huggingface.co/bigscience/bloom,License/terms listed: RII License (RAIL variant)/BigScience OpenRAIL-M,aipi_coder_gpt5pro,2025-10-07T01:14:31Z,2025-10-07T01:14:31Z
bigscience,BigScience,BLOOM,TRA4,Unknown,,,,,
bigscience,BigScience,BLOOM,TRA5,Yes,https://huggingface.co/bigscience/bloom#files,Versioned releases available (GitHub/HF tags).,aipi_coder_gpt5pro,2025-10-07T01:14:31Z,2025-10-07T01:14:31Z
bigscience,BigScience,BLOOM,TRA6,Unknown,,,,,
bigscience,BigScience,BLOOM,TRA7,Unknown,,,,,
bigscience,BigScience,BLOOM,TRA8,Unknown,,,,,
bigscience,BigScience,BLOOM,TRA9,Unknown,,,,,
bigscience,BigScience,BLOOM,TRA10,Yes,https://huggingface.co/bigscience/bloom,Weights available for download (model hub/repo).,aipi_coder_gpt5pro,2025-10-07T01:14:31Z,2025-10-07T01:14:31Z
bigscience,BigScience,BLOOM,ACC1,Unknown,,,,,
bigscience,BigScience,BLOOM,ACC2,Unknown,,,,,
bigscience,BigScience,BLOOM,ACC3,Unknown,,,,,
bigscience,BigScience,BLOOM,ACC4,Unknown,,,,,
bigscience,BigScience,BLOOM,ACC5,Unknown,,,,,
bigscience,BigScience,BLOOM,ACC6,Unknown,,,,,
bigscience,BigScience,BLOOM,ACC7,Unknown,,,,,
bigscience,BigScience,BLOOM,ACC8,Unknown,,,,,
bigscience,BigScience,BLOOM,ACC9,Unknown,,,,,
bigscience,BigScience,BLOOM,ACC10,Unknown,,,,,
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,GOV1,Unknown,,,,,
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,GOV2,Yes,https://openai.com/index/introducing-the-model-spec/,OpenAI invited public input on its Model Spec to guide policy and product behavior.,[anonymous@anonymized.example],2025-10-06T22:51:12Z,2025-10-06T22:51:12Z
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,GOV3,1,https://help.openai.com/en/articles/6627109-how-can-i-contact-openai-for-support,"OpenAI provides user support and feedback channels,but issues are not tracked in a public bug/issue tracker.",[anonymous@anonymized.example],2025-10-06T22:51:12Z,2025-10-06T22:51:12Z
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,GOV4,Unknown,,,,,
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,GOV5,2,https://www.ap.org/press-releases/2023/ap-and-openai-announce-strategic-partnership/,"OpenAI has multiple licensing deals (e.g.,AP,Axel Springer,FT, News Corp) for data rights.",[anonymous@anonymized.example],2025-10-06T22:51:12Z,2025-10-06T22:51:12Z
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,GOV6,Unknown,,,,,
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,GOV7,Yes,https://openai.com/gptbot,Site owners can disallow GPTBot in robots.txt to opt-out of use for training.,[anonymous@anonymized.example],2025-10-06T22:51:12Z,2025-10-06T22:51:12Z
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,GOV8,Unknown,,,,,
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,GOV9,Unknown,,,,,
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,GOV10,Unknown,,,,,
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,INC1,Unknown,,,,,
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,INC2,Unknown,,,,,
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,INC3,Unknown,,,,,
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,INC4,Unknown,,,,,
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,INC5,Unknown,,,,,
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,INC6,Unknown,,,,,
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,INC7,Unknown,,,,,
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,INC8,Unknown,,,,,
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,INC9,Unknown,,,,,
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,INC10,Unknown,,,,,
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,TRA1,Yes,https://openai.com/index/gpt-4o-system-card/,"OpenAI publishes system cards/model reports for major model families (e.g.,GPT‑4o).",[anonymous@anonymized.example],2025-10-06T22:51:12Z,2025-10-06T22:51:12Z
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,TRA2,1,https://openai.com/index/gpt-4o-system-card/,Training data sources described at high-level/dataset list depending on family.,aipi_coder_gpt5pro,2025-10-07T01:14:31Z,2025-10-07T01:14:31Z
