provider_id,provider_name,system_family,indicator_id,score
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,GOV2,1.0
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,GOV3,1.0
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,GOV5,1.0
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,GOV7,1.0
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,TRA1,1.0
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,TRA5,1.0
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,TRA8,1.0
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,TRA10,0.0
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,ACC1,1.0
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,ACC2,1.0
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,ACC3,1.0
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,ACC7,1.0
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,ACC8,1.0
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,ACC9,1.0
google,Google (DeepMind),Gemini (Ultra/Pro/Nano/Flash),GOV3,1.0
google,Google (DeepMind),Gemini (Ultra/Pro/Nano/Flash),GOV7,1.0
google,Google (DeepMind),Gemini (Ultra/Pro/Nano/Flash),TRA1,1.0
google,Google (DeepMind),Gemini (Ultra/Pro/Nano/Flash),TRA10,0.0
google,Google (DeepMind),Gemini (Ultra/Pro/Nano/Flash),ACC1,1.0
google,Google (DeepMind),Gemini (Ultra/Pro/Nano/Flash),ACC9,1.0
anthropic,Anthropic,Claude 3.x / 4.x Sonnet/Opus/Haiku,GOV1,1.0
anthropic,Anthropic,Claude 3.x / 4.x Sonnet/Opus/Haiku,GOV3,1.0
anthropic,Anthropic,Claude 3.x / 4.x Sonnet/Opus/Haiku,GOV7,1.0
anthropic,Anthropic,Claude 3.x / 4.x Sonnet/Opus/Haiku,TRA1,1.0
anthropic,Anthropic,Claude 3.x / 4.x Sonnet/Opus/Haiku,TRA10,0.0
anthropic,Anthropic,Claude 3.x / 4.x Sonnet/Opus/Haiku,ACC1,1.0
anthropic,Anthropic,Claude 3.x / 4.x Sonnet/Opus/Haiku,ACC3,1.0
anthropic,Anthropic,Claude 3.x / 4.x Sonnet/Opus/Haiku,ACC7,1.0
anthropic,Anthropic,Claude 3.x / 4.x Sonnet/Opus/Haiku,ACC8,1.0
meta,Meta,Llama 3.x,GOV3,1.0
meta,Meta,Llama 3.x,TRA1,1.0
meta,Meta,Llama 3.x,TRA10,1.0
meta,Meta,Llama 3.x,ACC1,1.0
meta,Meta,Llama 3.x,ACC9,1.0
stability,Stability AI,Stable Diffusion (SDXL/3),GOV3,1.0
stability,Stability AI,Stable Diffusion (SDXL/3),TRA1,1.0
stability,Stability AI,Stable Diffusion (SDXL/3),TRA10,1.0
stability,Stability AI,Stable Diffusion (SDXL/3),ACC1,1.0
stability,Stability AI,Stable Diffusion (SDXL/3),ACC9,
alibaba,Alibaba Cloud,Qwen (Qwen2.5/Qwen3),GOV3,1.0
alibaba,Alibaba Cloud,Qwen (Qwen2.5/Qwen3),TRA1,1.0
alibaba,Alibaba Cloud,Qwen (Qwen2.5/Qwen3),TRA10,1.0
alibaba,Alibaba Cloud,Qwen (Qwen2.5/Qwen3),ACC1,1.0
alibaba,Alibaba Cloud,Qwen (Qwen2.5/Qwen3),ACC7,1.0
cohere,Cohere,Command / Embed / Rerank,GOV3,1.0
cohere,Cohere,Command / Embed / Rerank,GOV7,1.0
cohere,Cohere,Command / Embed / Rerank,TRA1,1.0
cohere,Cohere,Command / Embed / Rerank,TRA10,0.0
cohere,Cohere,Command / Embed / Rerank,ACC1,1.0
cohere,Cohere,Command / Embed / Rerank,ACC3,1.0
xai,xAI,Grok,GOV3,1.0
xai,xAI,Grok,GOV7,1.0
xai,xAI,Grok,TRA10,1.0
xai,xAI,Grok,ACC1,1.0
xai,xAI,Grok,ACC9,
mistral,Mistral AI,Mistral/Mixtral,GOV3,1.0
mistral,Mistral AI,Mistral/Mixtral,GOV7,1.0
mistral,Mistral AI,Mistral/Mixtral,TRA1,1.0
mistral,Mistral AI,Mistral/Mixtral,TRA10,1.0
mistral,Mistral AI,Mistral/Mixtral,ACC1,
bigscience,BigScience,BLOOM,GOV3,1.0
bigscience,BigScience,BLOOM,TRA1,1.0
bigscience,BigScience,BLOOM,TRA2,1.0
bigscience,BigScience,BLOOM,TRA3,1.0
bigscience,BigScience,BLOOM,TRA5,1.0
bigscience,BigScience,BLOOM,TRA10,1.0
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,TRA2,1.0
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,TRA3,0.0
google,Google (DeepMind),Gemini (Ultra/Pro/Nano/Flash),TRA2,1.0
google,Google (DeepMind),Gemini (Ultra/Pro/Nano/Flash),TRA3,0.0
google,Google (DeepMind),Gemini (Ultra/Pro/Nano/Flash),TRA5,1.0
anthropic,Anthropic,Claude 3.x / 4.x Sonnet/Opus/Haiku,TRA2,1.0
anthropic,Anthropic,Claude 3.x / 4.x Sonnet/Opus/Haiku,TRA3,0.0
anthropic,Anthropic,Claude 3.x / 4.x Sonnet/Opus/Haiku,TRA5,
meta,Meta,Llama 3.x,TRA2,1.0
meta,Meta,Llama 3.x,TRA3,0.0
meta,Meta,Llama 3.x,TRA5,
databricks,Databricks,DBRX,GOV3,0.0
databricks,Databricks,DBRX,TRA1,1.0
databricks,Databricks,DBRX,TRA2,1.0
databricks,Databricks,DBRX,TRA3,0.0
databricks,Databricks,DBRX,TRA5,1.0
databricks,Databricks,DBRX,TRA10,1.0
stability,Stability AI,Stable Diffusion (SDXL/3),TRA2,1.0
stability,Stability AI,Stable Diffusion (SDXL/3),TRA3,1.0
stability,Stability AI,Stable Diffusion (SDXL/3),TRA5,1.0
alibaba,Alibaba Cloud,Qwen (Qwen2.5/Qwen3),TRA2,1.0
alibaba,Alibaba Cloud,Qwen (Qwen2.5/Qwen3),TRA3,0.0
alibaba,Alibaba Cloud,Qwen (Qwen2.5/Qwen3),TRA5,
cohere,Cohere,Command / Embed / Rerank,TRA2,1.0
cohere,Cohere,Command / Embed / Rerank,TRA3,0.0
cohere,Cohere,Command / Embed / Rerank,TRA5,
deepseek,DeepSeek,DeepSeek-V3 / DeepSeek-R1,GOV3,1.0
deepseek,DeepSeek,DeepSeek-V3 / DeepSeek-R1,TRA1,1.0
deepseek,DeepSeek,DeepSeek-V3 / DeepSeek-R1,TRA2,1.0
deepseek,DeepSeek,DeepSeek-V3 / DeepSeek-R1,TRA3,0.0
deepseek,DeepSeek,DeepSeek-V3 / DeepSeek-R1,TRA5,1.0
deepseek,DeepSeek,DeepSeek-V3 / DeepSeek-R1,TRA10,1.0
microsoft,Microsoft,Phi 3/4 family,GOV3,0.0
