provider_id,provider_name,system_family,indicator_id,indicator_name,pillar,subpillar,indicator_value,norm_known,norm_evidence,evidence_url,evidence_excerpt
bigscience,BigScience,BLOOM,GOV1,Stakeholder advisory mechanism,Participatory governance,Stakeholder advisory mechanism,Unknown,,0.0,,
bigscience,BigScience,BLOOM,GOV2,Public consultation on model/policy,Participatory governance,Public consultation on model/policy,Unknown,,0.0,,
bigscience,BigScience,BLOOM,GOV3,Issue tracker for user feedback,Participatory governance,Issue tracker for user feedback,1,0.5,0.5,https://huggingface.co/bigscience/bloom/discussions,Public Hugging Face 'Discussions' exist for model feedback.
bigscience,BigScience,BLOOM,GOV4,Participatory red teaming,Participatory governance,Participatory red teaming,Unknown,,0.0,,
bigscience,BigScience,BLOOM,GOV5,Data rights & consent deals,Participatory governance,Data rights & consent deals,Unknown,,0.0,,
bigscience,BigScience,BLOOM,GOV6,Civil society partnerships,Participatory governance,Civil society partnerships,Unknown,,0.0,,
bigscience,BigScience,BLOOM,GOV7,Training data opt-out,Participatory governance,Training data opt-out,Unknown,,0.0,,
bigscience,BigScience,BLOOM,GOV8,Participatory evaluation,Participatory governance,Participatory evaluation,Unknown,,0.0,,
bigscience,BigScience,BLOOM,GOV9,Model policy protects vulnerable groups,Participatory governance,Model policy protects vulnerable groups,Unknown,,0.0,,
bigscience,BigScience,BLOOM,GOV10,Independent oversight,Participatory governance,Independent oversight,Unknown,,0.0,,
bigscience,BigScience,BLOOM,INC1,Supported UI languages (count),Inclusivity & diversity,Supported UI languages (count),Unknown,,0.0,,
bigscience,BigScience,BLOOM,INC2,Low-resource language coverage,Inclusivity & diversity,Low-resource language coverage,Unknown,,0.0,,
bigscience,BigScience,BLOOM,INC3,Accessibility features,Inclusivity & diversity,Accessibility features,Unknown,,0.0,,
bigscience,BigScience,BLOOM,INC4,Disaggregated safety metrics,Inclusivity & diversity,Disaggregated safety metrics,Unknown,,0.0,,
